RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
163,"Brandan Wright, PF",BOS/DAL/PHX,75,19.3,-0.49,0.16,-0.33,1.8
168,"Avery Bradley, SG",BOS,77,31.5,-1.07,0.73,-0.34,3.1
167,"Goran Dragic, PG",MIA/PHX,78,33.8,1.76,-2.1,-0.34,3.4
166,"Rodney Stuckey, PG",IND,71,26.4,-0.19,-0.15,-0.34,2.3
165,"Joel Freeland, C",POR,48,12.9,-1.81,1.47,-0.34,0.8
164,"Dwyane Wade, SG",MIA,62,31.8,1.61,-1.95,-0.34,2.4
170,"Sergey Karasev, SG",BKN,33,16.8,-0.66,0.3,-0.36,0.7
169,"Drew Gooden, PF",WSH,51,16.9,-0.29,-0.07,-0.36,1
171,"Terrence Jones, PF",HOU,33,26.9,-1.17,0.8,-0.37,1.1
172,"Rodney Hood, SG",UTAH,50,21.3,-0.48,0.07,-0.41,1.2
174,"Miroslav Raduljica, C",MIN,5,4.6,-0.8,0.38,-0.42,0
173,"Kendall Marshall, PG",MIL,28,14.9,0.49,-0.91,-0.42,0.5
176,"Jae Crowder, PF",BOS/DAL,82,20.1,0.63,-1.07,-0.44,2
175,"Shaun Livingston, PG",GS,78,18.8,-1.27,0.83,-0.44,1.8
177,"Josh Smith, PF",DET/HOU,83,27.7,-1.84,1.39,-0.45,2.8
178,"Larry Sanders, PF",MIL,27,21.7,-3.42,2.9,-0.52,0.7
179,"Nazr Mohammed, C",CHI,23,5.6,-0.89,0.34,-0.55,0.1
180,"Quincy Miller, SF",DET/SAC,10,11.9,-1,0.43,-0.57,0.1
181,"James Michael McAdoo, SF",GS,15,9.1,0,-0.58,-0.58,0.2
184,"Dewayne Dedmon, C",ORL,59,14.3,-2.79,2.2,-0.59,0.9
183,"Tony Snell, SG",CHI,72,19.6,-0.29,-0.3,-0.59,1.5
182,"Victor Claver, PF",POR,10,7.6,-0.66,0.07,-0.59,0.1
186,"Matthew Dellavedova, PG",CLE,67,20.6,-0.52,-0.08,-0.6,1.4
185,"Brook Lopez, C",BKN,72,29.2,-0.76,0.16,-0.6,2.2
188,"Mason Plumlee, C",BKN,82,21.3,-0.32,-0.29,-0.61,1.8
187,"Richard Jefferson, SF",DAL,74,16.8,-0.45,-0.16,-0.61,1.4
189,"PJ Tucker, SF",PHX,78,30.6,-1.22,0.6,-0.62,2.6
190,"Jonas Valanciunas, C",TOR,80,26.2,-1.71,1.03,-0.68,2.2
192,"Pablo Prigioni, PG",HOU/NY,67,17.9,-0.42,-0.3,-0.72,1.2
191,"Mo Williams, PG",MIN/CHA,68,29.1,1.02,-1.74,-0.72,2
193,"Tyler Johnson, SG",MIA,32,18.8,0.44,-1.17,-0.73,0
195,"Alex Len, C",PHX,69,22,-2.9,2.16,-0.74,1.6
194,"Gorgui Dieng, C",MIN,73,30,-1.42,0.68,-0.74,2.2
196,"Ian Mahinmi, C",IND,61,18.8,-3.22,2.47,-0.75,1.1
199,"Jarnell Stokes, PF",MEM,19,6.6,-1.56,0.76,-0.8,0.1
198,"Wesley Johnson, SF",LAL,76,29.5,-0.2,-0.6,-0.8,2.1
197,"Hedo Turkoglu, SF",LAC,62,11.4,-0.04,-0.76,-0.8,0.7
200,"Dante Cunningham, SF",NO,66,25,-1.37,0.54,-0.83,1.5
201,"Steve Blake, PG",POR,81,18.9,-0.12,-0.74,-0.86,1.4
202,"Evan Fournier, SF",ORL,58,28.6,0.48,-1.35,-0.87,1.5
203,"Tyrus Thomas, PF",MEM,2,3.5,-0.42,-0.46,-0.88,0
204,"Alex Kirk, C",CLE,5,2.8,-0.98,0.09,-0.89,0
206,"Courtney Lee, SG",MEM,77,30.6,0.23,-1.14,-0.91,2.1
205,"Al Jefferson, C",CHA,65,30.6,-1.47,0.56,-0.91,1.8
207,"Langston Galloway, SG",NY,45,32.4,-0.45,-0.47,-0.92,1.3
208,"Ekpe Udoh, C",LAC,33,3.9,-1.23,0.3,-0.93,0.1
209,"Jerrelle Benimon, PF",UTAH,2,1.5,-1.17,0.21,-0.96,0
210,"Bismack Biyombo, C",CHA,64,19.4,-2.57,1.58,-0.99,1
211,"Kyle O'Quinn, C",ORL,51,16.2,-2.82,1.82,-1,0.7
212,"Jack Cooley, PF",UTAH,16,5.4,-1.67,0.66,-1.01,0.1
213,"Robert Sacre, C",LAL,67,16.9,-2.61,1.59,-1.02,0.9
214,"Kemba Walker, PG",CHA,62,34.2,0.97,-2,-1.03,1.7
215,"Marcus Morris, PF",PHX,81,25.2,0.87,-1.91,-1.04,1.7
216,"Aaron Brooks, PG",CHI,82,23,1.25,-2.33,-1.08,1.5
218,"Glenn Robinson III, SG",MIN/PHI,35,7.5,0.19,-1.28,-1.09,0.2
217,"Eric Moreland, PF",SAC,3,0.7,-0.57,-0.52,-1.09,0
220,"Shayne Whittington, PF",IND,20,5.4,-0.32,-0.79,-1.11,0.1
219,"Ersan Ilyasova, PF",MIL,58,22.7,1.34,-2.45,-1.11,1
223,"Trevor Booker, PF",UTAH,79,19.8,0.39,-1.51,-1.12,1.1
222,"Ronny Turiaf, C",MIN,2,9.5,-1.28,0.16,-1.12,0
221,"Elton Brand, PF",ATL,36,13.5,-1.93,0.81,-1.12,0.4
225,"Ed Davis, PF",LAL,79,23.3,-0.26,-0.89,-1.15,1.4
224,"Lester Hudson, SG",LAC,5,11.2,-0.22,-0.93,-1.15,0
226,"Reggie Evans, C",SAC,47,16.3,-1.07,-0.09,-1.16,0.6
227,"Amar'e Stoudemire, C",DAL/NY,59,21.1,-0.05,-1.12,-1.17,0.9
229,"Steven Adams, C",OKC,70,25.3,-2.72,1.54,-1.18,1.3
228,"Omer Asik, C",NO,76,26.1,-3.01,1.83,-1.18,1.4
230,"Mario Chalmers, PG",MIA,80,29.6,-1.65,0.45,-1.2,1.7
231,"Ryan Hollins, C",SAC,46,9.6,-1.98,0.77,-1.21,0.3
232,"Jordan Adams, SG",MEM,30,8.3,-0.62,-0.61,-1.23,0.2
234,"Lucas Nogueira, C",TOR,6,3.8,-0.92,-0.35,-1.27,0
233,"Garrett Temple, SG",WSH,52,14.2,-2.23,0.96,-1.27,0.5
236,"Jerami Grant, SF",PHI,65,21.2,-2.4,1.12,-1.28,0.9
235,"Will Barton, SG",DEN/POR,58,16.9,-1.62,0.34,-1.28,0.7
238,"Shabazz Napier, PG",MIA,51,19.8,-1.67,0.37,-1.3,0.6
237,"Vince Carter, SG",MEM,66,16.5,-0.81,-0.49,-1.3,0.7
240,"Greg Smith, PF",DAL,42,8.6,-3.43,2.1,-1.33,0.2
239,"Taj Gibson, PF",CHI,62,27.3,-1.72,0.39,-1.33,1.1
241,"Luc Mbah a Moute, PF",PHI,67,28.6,-3.12,1.78,-1.34,1.2
243,"Evan Turner, SG",BOS,82,27.6,-1.09,-0.28,-1.37,1.4
242,"O.J. Mayo, SG",MIL,71,23.9,-0.71,-0.66,-1.37,1.1
244,"Joey Dorsey, PF",HOU,69,12.4,-2.42,1.03,-1.39,0.5
246,"Eric Gordon, SG",NO,61,33.1,0.48,-1.88,-1.4,1.2
245,"Channing Frye, PF",ORL,75,24.9,-1.28,-0.12,-1.4,1.1
247,"Brandon Bass, PF",BOS,82,23.5,-1.21,-0.21,-1.42,1.1
248,"Paul George, SF",IND,6,15.2,-0.73,-0.71,-1.44,0.1
249,"Marreese Speights, PF",GS,76,15.9,0.02,-1.47,-1.45,0.7
252,"Clint Capela, C",HOU,12,7.5,-1.97,0.49,-1.48,0.1
251,"Ognjen Kuzmic, C",GS,16,4.5,-1.81,0.33,-1.48,0
250,"Kenyon Martin, PF",MIL,11,9.5,-1.27,-0.21,-1.48,0.1
253,"Nerlens Noel, C",PHI,75,30.8,-4.85,3.35,-1.5,1.2
256,"Dwight Powell, PF",BOS/DAL,29,8.1,-1.01,-0.51,-1.52,0.1
255,"Xavier Henry, SG",LAL,9,9.6,-0.33,-1.19,-1.52,0
254,"Gerald Wallace, SF",BOS,32,8.9,-0.86,-0.66,-1.52,0.2
257,"Jeff Withey, C",NO,37,7,-0.83,-0.7,-1.53,0.1
258,"Toney Douglas, PG",NO,12,14.8,0.16,-1.7,-1.54,0
261,"Sean Kilpatrick, SG",MIN,4,18,-0.66,-0.89,-1.55,0
260,"Mirza Teletovic, PF",BKN,40,22.3,-2.5,0.95,-1.55,0.4
259,"Corey Brewer, SF",HOU/MIN,80,26.1,-0.31,-1.24,-1.55,1.1
264,"Tim Frazier, PG",PHI/POR,11,21.7,-0.64,-0.93,-1.57,0.1
263,"Festus Ezeli, C",GS,46,11,-2.14,0.57,-1.57,0.3
262,"Patrick Beverley, PG",HOU,56,30.8,-1.27,-0.3,-1.57,0.9
265,"Devin Harris, PG",DAL,76,22.2,0.24,-1.84,-1.6,0.8
267,"David Wear, PF",SAC,2,3.5,-0.93,-0.69,-1.62,0
266,"Andre Miller, PG",SAC/WSH,81,15.5,0.51,-2.13,-1.62,0.6
268,"Nick Young, SG",LAL,42,23.8,0.07,-1.7,-1.63,0.5
270,"Quincy Pondexter, SG",NO/MEM,75,23.9,-1.1,-0.54,-1.64,0.8
269,"Glen Davis, PF",LAC,74,12.2,-3.76,2.12,-1.64,0.4
272,"Andrew Wiggins, SF",MIN,82,36.2,0.47,-2.13,-1.66,1.3
271,"Jannero Pargo, PG",CHA,9,8.1,0.13,-1.79,-1.66,0
274,"Spencer Hawes, PF",LAC,73,17.5,-2.6,0.91,-1.69,0.5
273,"Leandro Barbosa, SG",GS,66,14.9,0.13,-1.82,-1.69,0.4
275,"Ryan Anderson, PF",NO,61,27.5,2.05,-3.75,-1.7,0.7
278,"Julius Randle, PF",LAL,1,14,-1.52,-0.19,-1.71,0
277,"Justin Holiday, SG",GS,59,11.1,-1.48,-0.23,-1.71,0.3
276,"Jason Richardson, SG",PHI,19,21.9,-1.2,-0.51,-1.71,0.2
279,"Miles Plumlee, C",MIL/PHX,73,16.4,-2.01,0.28,-1.73,0.5
281,"Toure' Murry, SF",UTAH/WSH,5,3.6,-0.64,-1.11,-1.75,0
280,"Jared Cunningham, SG",LAC,19,4.7,-1.03,-0.72,-1.75,0
282,"Omri Casspi, SF",SAC,67,21.1,-0.02,-1.74,-1.76,0.5
283,"Dante Exum, PG",UTAH,82,22.2,-1.64,-0.13,-1.77,0.6
284,"Jason Thompson, PF",SAC,81,24.6,-2.08,0.27,-1.81,0.7
285,"Maurice Harkless, SF",ORL,45,15,-2.5,0.66,-1.84,0.2
286,"Nikola Vucevic, C",ORL,74,34.2,-1.48,-0.37,-1.85,0.8
287,"Russ Smith, PG",NO/MEM,12,5.4,-1.03,-0.85,-1.88,0
288,"Greg Stiemsma, C",TOR,17,3.9,-1.24,-0.65,-1.89,0
290,"Devyn Marble, SF",ORL,16,13,-1.62,-0.29,-1.91,0.1
289,"Andre Dawkins, SG",MIA,4,5.5,-0.92,-0.99,-1.91,0
291,"Caron Butler, SF",DET,78,20.8,-1.69,-0.23,-1.92,0.4
292,"Shabazz Muhammad, SG",MIN,38,22.8,0.61,-2.54,-1.93,0.2
293,"Cartier Martin, PF",DET,23,8.6,-1.52,-0.42,-1.94,0.1
294,"Tarik Black, PF",HOU/LAL,63,19,-1.67,-0.28,-1.95,0.3
295,"Jordan Hamilton, SG",LAC,14,8.7,-0.77,-1.22,-1.99,0
296,"Terrence Ross, SG",TOR,82,25.5,1.76,-3.77,-2.01,0.4
299,"Solomon Hill, SF",IND,82,29,-0.68,-1.36,-2.04,0.5
298,"Wilson Chandler, SF",DEN,78,31.7,-0.64,-1.4,-2.04,0.5
297,"Beno Udrih, PG",MEM,79,18.9,0.24,-2.28,-2.04,0.3
300,"Michael Beasley, SF",MIA,24,21,-3.13,0.99,-2.14,0.1
301,"Kobe Bryant, SF",LAL,35,34.5,0.91,-3.06,-2.15,0.2
302,"Reggie Bullock, SF",LAC/PHX,36,9.4,-2.21,0.05,-2.16,0
303,"John Jenkins, SG",ATL,24,12.4,-1.63,-0.54,-2.17,0
305,"Cameron Bairstow, PF",CHI,18,3.6,-1.41,-0.77,-2.18,0
304,"Shelvin Mack, PG",ATL,55,15.1,-0.18,-2,-2.18,0.1
306,"Glen Rice Jr., SG",WSH,5,8.6,-0.96,-1.25,-2.21,0
307,"David Stockton, PG",SAC,3,11,-0.59,-1.63,-2.22,0
308,"Mike Scott, PF",ATL,68,16.5,-0.8,-1.44,-2.24,0.1
309,"Michael Carter-Williams, PG",MIL/PHI,66,32.6,-3.05,0.78,-2.27,0.1
310,"Jamal Crawford, SG",LAC,64,26.6,2.1,-4.38,-2.28,0.1
311,"Shawne Williams, SF",DET/MIA,63,17.3,-0.64,-1.67,-2.31,0
312,"Alexey Shved, PG",HOU/NY/PHI,42,18.3,0.63,-2.96,-2.33,0
315,"Jordan Clarkson, PG",LAL,59,25,0.64,-3,-2.36,0
314,"Nate Wolters, PG",NO/MIL,21,11.8,-0.9,-1.46,-2.36,0
313,"Brandon Knight, PG",MIL/PHX,63,32.3,-0.51,-1.85,-2.36,0
316,"Ricky Ledo, SG",DAL/NY,17,14.4,-1.25,-1.13,-2.38,0
317,"Donald Sloan, PG",IND,53,20.9,-1.11,-1.28,-2.39,0
318,"Francisco Garcia, SG",HOU,14,14.3,-2.11,-0.29,-2.4,0
319,"Thomas Robinson, PF",PHI/POR,54,14.8,-2.23,-0.18,-2.41,0
320,"JaMychal Green, PF",SA/MEM,24,6.8,-1.69,-0.78,-2.47,0
321,"Patrick Christopher, SG",UTAH,4,7.3,-1.26,-1.22,-2.48,0
322,"Gal Mekel, PG",NO,4,10.8,-1.48,-1.01,-2.49,0
323,"Jordan Farmar, PG",LAC,36,14.7,-1.33,-1.18,-2.51,-0.1
324,"Aaron Gordon, PF",ORL,47,17,-2.04,-0.48,-2.52,-0.1
325,"Tobias Harris, SF",ORL,68,34.8,-0.32,-2.21,-2.53,-0.3
326,"Kyle Singler, SF",DET/OKC,80,21.8,-1.25,-1.29,-2.54,-0.2
327,"Shavlik Randolph, PF",BOS/PHX,21,6,-2.58,0.02,-2.56,0
328,"Joe Ingles, SF",UTAH,79,21.2,-2.31,-0.28,-2.59,-0.2
329,"Earl Barron, C",PHX,16,8.9,-2.95,0.33,-2.62,0
330,"Justin Hamilton, C",MIA/MIN,41,17.4,-2.19,-0.44,-2.63,-0.1
331,"Kevin Martin, SG",MIN,39,33.4,0.42,-3.07,-2.65,-0.3
332,"E'Twaun Moore, SG",CHI,56,9,-1.56,-1.11,-2.67,-0.1
333,"Quincy Acy, SF",NY,68,18.9,-3.85,1.17,-2.68,-0.3
334,"Kalin Lucas, PG",MEM,1,6,-1.21,-1.48,-2.69,0
